id,id2,Census Tract,County,State,Median_income,Income Bracket,ENERGY BILL,ELEC BILL,GAS BILL,WATER BILL,energy burden,elec burden,gas bill,water bill,Total HH,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",HH_Living costs (month),HH_Living Costs (annual),Poverty Rate,Population_Greater_Mile,Food_Desert,Elderly Living Alone,Rent Burden,Eviction Rates,Eviction Filings,Eviction Filing Rates,Transportation Burden,Lack of Health Insurance,Tree Canopy Coverage,Vacant Houses
1400000US36029015800,36029015800,158,Erie,New York,30289,6.2,2047.702128,933.9148936,1113.787234,304.212766,0.067605472,0.030833467,0.036772004,0.010043671,771,120,195,244,367,387,473,557,595,595,617,676,760,768,768,771,771,1186,14232,8.3,Null,0,Null,0.184,0,0,0,0.3,0.021,Null,0
1400000US36029011500,36029011500,115,Erie,New York,26392,5.3,2804.450704,1136.577465,1667.873239,298.5,0.106261394,0.043065227,0.063196167,0.011310246,976,210,320,343,408,556,569,667,750,781,836,925,941,971,971,971,976,932,11184,8,Null,0,Null,0.197,0.0107,2,0.0107,0.23,0.006,Null,0.022540984
1400000US36029000200,36029000200,2,Erie,New York,22723,4.4,1599.205479,937.0684932,662.1369863,291,0.070378272,0.041238767,0.029139506,0.012806408,1555,203,327,518,630,804,851,916,929,1004,1075,1197,1372,1443,1487,1526,1555,709,8508,29,Null,0,0.126131222,0.277,0.0064,46,0.0588,0.21,0.022,0.123462,0.055948553
1400000US36029009301,36029009301,93.01,Erie,New York,26229,5.2,2060.713936,1107.696822,953.0171149,281.0220049,0.078566241,0.04223176,0.036334481,0.010714172,443,52,135,162,261,292,323,339,343,360,387,407,423,443,443,443,443,881,10572,23.5,Null,0,0.087394958,0.339,0.0009,10,0.0094,0.21,0.043,0.078167801,0.128668172
1400000US36029017400,36029017400,174,Erie,New York,19423,4.1,3539.531436,1754.910655,1784.620781,450.3345467,0.182234023,0.090352194,0.09188183,0.023185633,1990,338,426,547,717,799,944,1036,1145,1219,1433,1580,1835,1921,1945,1957,1990,609,7308,48.5,Null,1,0.105507631,0.294,0,6,0.0071,0.21,0.008,0.086150599,0.064321608
1400000US36029015003,36029015003,150.03,Erie,New York,30844,6.2,2793.473684,1550.447368,1243.026316,220.7401316,0.090567815,0.05026739,0.040300425,0.007156664,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,1178,14136,13.3,Null,0,Null,0.252,0,3,0.0108,0.29,0.012,Null,0
1400000US36029009115,36029009115,91.15,Erie,New York,20808,4.2,2172.304024,1051.081967,1121.222057,641.6065574,0.104397541,0.050513359,0.053884182,0.03083461,852,97,159,246,300,372,407,458,492,522,610,654,709,753,790,814,852,943,11316,46.1,Null,1,Null,0.284,0.001,5,0.0052,0.2,0.098,Null,0.009389671
1400000US36029005500,36029005500,55,Erie,New York,19583,4.1,2239.148936,1010.723404,1228.425532,668.5957447,0.114341466,0.051612286,0.06272918,0.03414164,1713,242,521,632,770,848,1008,1176,1250,1272,1395,1494,1576,1607,1650,1676,1713,671,8052,46,Null,0,0.082814446,0.297,0.0049,89,0.0734,0.19,0.022,0.109226999,0.141856392
1400000US36029003901,36029003901,39.01,Erie,New York,20867,4.2,1908.072727,885.0909091,1022.981818,197.1757576,0.091439724,0.04241582,0.049023905,0.009449167,2130,104,196,257,340,433,584,666,809,922,1088,1295,1692,1832,1958,2046,2130,785,9420,30.6,Null,1,0.15581854,0.273,0.0148,39,0.1442,0.2,0.016,0.106300001,0.030516432
1400000US36029010500,36029010500,105,Erie,New York,27500,5.4,3149.569378,1572.258373,1577.311005,619.1650718,0.114529796,0.057173032,0.057356764,0.022515094,1394,66,82,119,146,236,357,429,502,586,636,877,1087,1255,1305,1346,1394,934,11208,20.9,Null,0,Null,0.197,0.0061,5,0.0153,0.23,0.027,Null,0.035150646
1400000US36029004200,36029004200,42,Erie,New York,22420,4.3,2780.420339,1274.074576,1506.345763,352.5322034,0.12401518,0.05682759,0.06718759,0.015724006,1485,0,53,136,182,297,339,375,464,529,658,842,1142,1308,1407,1457,1485,836,10032,37.9,Null,1,0.103619588,0.424,0.0127,135,0.2452,0.21,0.029,0.100045996,0.121212121
